List,dec
text+button,16.7%
popup_with_access,3.3%
text_only,26.7%
open_with,35.6%
text_empty,23.3%
share_with,80.8%
list+on_off,2.9%
advertisement+button,45.0%
image_list,66.7%
popup_date,0.0%
movie,36.7%
menu_list,82.9%
translate_with_sound,0.0%
IME,20.0%
dialer,6.7%
translate,0.0%
image_view,10.0%
location_selection,0.0%
continue_as_name,75.0%
popup_with_full_screen,5.7%
pinpoint_location,6.7%
popup_with_continue_as_name,80.0%
list,52.5%
camera,0.0%
picture,0.0%
popup,26.7%
navigation_menu,24.4%
input_form,6.7%
select_dialog,43.3%
calendar,56.7%
text_image,13.3%
continue_button,2.4%
theme,77.3%
homescreen,0.0%
Total,30.5%
