List,dec
text+button,27.8%
popup_with_access,76.7%
text_only,70.0%
open_with,0.0%
text_empty,3.3%
share_with,94.2%
list+on_off,94.3%
advertisement+button,17.5%
image_list,6.7%
popup_date,0.0%
movie,3.3%
menu_list,34.3%
translate_with_sound,0.0%
IME,10.0%
dialer,6.7%
translate,92.0%
image_view,2.5%
location_selection,3.3%
continue_as_name,0.0%
popup_with_full_screen,11.4%
pinpoint_location,6.7%
popup_with_continue_as_name,0.0%
list,47.5%
camera,0.0%
picture,53.3%
popup,20.0%
navigation_menu,28.9%
input_form,0.0%
select_dialog,33.3%
calendar,0.0%
text_image,10.0%
continue_button,4.8%
theme,0.0%
homescreen,0.0%
Total,24.9%
