List,dec
text+button,5.6%
popup_with_access,80.0%
text_only,13.3%
open_with,51.1%
text_empty,10.0%
share_with,76.9%
list+on_off,71.4%
advertisement+button,17.5%
image_list,64.4%
popup_date,0.0%
movie,63.3%
menu_list,40.0%
translate_with_sound,100.0%
IME,0.0%
dialer,6.7%
translate,0.0%
image_view,17.5%
location_selection,76.7%
continue_as_name,0.0%
popup_with_full_screen,5.7%
pinpoint_location,76.7%
popup_with_continue_as_name,80.0%
list,2.5%
camera,2.5%
picture,53.3%
popup,3.3%
navigation_menu,22.2%
input_form,3.3%
select_dialog,56.7%
calendar,20.0%
text_image,13.3%
continue_button,2.4%
theme,0.0%
homescreen,0.0%
Total,34.0%
