List,dec
text+button,11.1%
popup_with_access,0.0%
text_only,3.3%
open_with,33.3%
text_empty,3.3%
share_with,94.2%
list+on_off,88.6%
advertisement+button,57.5%
image_list,2.2%
popup_date,33.3%
movie,23.3%
menu_list,85.7%
translate_with_sound,0.0%
IME,10.0%
dialer,0.0%
translate,92.0%
image_view,5.0%
location_selection,3.3%
continue_as_name,75.0%
popup_with_full_screen,5.7%
pinpoint_location,76.7%
popup_with_continue_as_name,85.7%
list,2.5%
camera,92.5%
picture,53.3%
popup,3.3%
navigation_menu,4.4%
input_form,6.7%
select_dialog,0.0%
calendar,60.0%
text_image,16.7%
continue_button,2.4%
theme,0.0%
homescreen,0.0%
Total,32.5%
