List,dec
text+button,0.0%
popup_with_access,0.0%
text_only,23.3%
open_with,33.3%
text_empty,33.3%
share_with,96.2%
list+on_off,88.6%
advertisement+button,57.5%
image_list,0.0%
popup_date,33.3%
movie,60.0%
menu_list,85.7%
translate_with_sound,0.0%
IME,0.0%
dialer,0.0%
translate,0.0%
image_view,2.5%
location_selection,0.0%
continue_as_name,75.0%
popup_with_full_screen,8.6%
pinpoint_location,76.7%
popup_with_continue_as_name,85.7%
list,0.0%
camera,80.0%
picture,53.3%
popup,3.3%
navigation_menu,8.9%
input_form,0.0%
select_dialog,0.0%
calendar,60.0%
text_image,20.0%
continue_button,4.8%
theme,0.0%
homescreen,0.0%
Total,32.0%
