List,dec
text+button,5.6%
popup_with_access,3.3%
text_only,6.7%
open_with,2.2%
text_empty,10.0%
share_with,80.8%
list+on_off,94.3%
advertisement+button,45.0%
image_list,66.7%
popup_date,16.7%
movie,26.7%
menu_list,0.0%
translate_with_sound,0.0%
IME,10.0%
dialer,13.3%
translate,92.0%
image_view,10.0%
location_selection,0.0%
continue_as_name,75.0%
popup_with_full_screen,11.4%
pinpoint_location,3.3%
popup_with_continue_as_name,80.0%
list,52.5%
camera,2.5%
picture,6.7%
popup,16.7%
navigation_menu,24.4%
input_form,13.3%
select_dialog,43.3%
calendar,10.0%
text_image,6.7%
continue_button,2.4%
theme,77.3%
homescreen,40.0%
Total,29.0%
