List,dec
text+button,22.2%
popup_with_access,76.7%
text_only,6.7%
open_with,4.4%
text_empty,13.3%
share_with,94.2%
list+on_off,0.0%
advertisement+button,85.0%
image_list,28.9%
popup_date,0.0%
movie,63.3%
menu_list,2.9%
translate_with_sound,0.0%
IME,30.0%
dialer,6.7%
translate,92.0%
image_view,2.5%
location_selection,3.3%
continue_as_name,0.0%
popup_with_full_screen,5.7%
pinpoint_location,76.7%
popup_with_continue_as_name,0.0%
list,50.0%
camera,0.0%
picture,40.0%
popup,0.0%
navigation_menu,4.4%
input_form,3.3%
select_dialog,86.7%
calendar,86.7%
text_image,6.7%
continue_button,2.4%
theme,0.0%
homescreen,0.0%
Total,28.9%
