List,gaussian_mixture,kmeans
r31,16.7%,50.0%
r7,0.0%,0.0%
r10,20.0%,0.0%
r21,0.0%,0.0%
r34,31.4%,57.1%
r4,0.0%,0.0%
r33,0.0%,100.0%
r12,43.3%,36.7%
r13,37.1%,40.0%
r6,97.1%,97.1%
r29,13.5%,13.5%
r3,73.3%,80.0%
r24,2.5%,35.0%
r32,100.0%,100.0%
r16,0.0%,0.0%
r28,24.4%,24.4%
r25,10.0%,23.3%
r23,11.1%,0.0%
r18,23.3%,23.3%
r11,20.0%,13.3%
r27,0.0%,96.0%
r5,5.0%,25.0%
r17,0.0%,3.3%
r19,0.0%,0.0%
r8,93.3%,93.3%
r1,70.0%,0.0%
r30,23.3%,6.7%
r22,9.5%,4.8%
r26,0.0%,6.7%
r9,0.0%,4.5%
r14,42.2%,22.2%
r2,47.5%,45.0%
r20,37.5%,37.5%
r15,26.7%,16.7%
Total,27.7%,32.8%
