List,gaussian_mixture,kmeans
r31,66.7%,66.7%
r7,0.0%,100.0%
r10,0.0%,20.0%
r21,0.0%,0.0%
r34,60.0%,60.0%
r4,0.0%,10.0%
r33,0.0%,0.0%
r12,33.3%,36.7%
r13,5.7%,40.0%
r6,97.1%,0.0%
r29,13.5%,86.5%
r3,80.0%,73.3%
r24,2.5%,5.0%
r32,100.0%,100.0%
r16,0.0%,70.0%
r28,24.4%,24.4%
r25,33.3%,3.3%
r23,0.0%,27.8%
r18,20.0%,3.3%
r11,13.3%,20.0%
r27,100.0%,96.0%
r5,57.5%,0.0%
r17,0.0%,0.0%
r19,0.0%,0.0%
r8,0.0%,0.0%
r1,0.0%,70.0%
r30,36.7%,36.7%
r22,14.3%,7.1%
r26,6.7%,6.7%
r9,0.0%,0.0%
r14,66.7%,60.0%
r2,50.0%,47.5%
r20,22.5%,52.5%
r15,0.0%,0.0%
Total,27.9%,34.5%
