List,dec
text+button,11.1%
popup_with_access,0.0%
text_only,70.0%
open_with,4.4%
text_empty,3.3%
share_with,94.2%
list+on_off,60.0%
advertisement+button,0.0%
image_list,2.2%
popup_date,16.7%
movie,3.3%
menu_list,2.9%
translate_with_sound,0.0%
IME,10.0%
dialer,13.3%
translate,0.0%
image_view,5.0%
location_selection,76.7%
continue_as_name,0.0%
popup_with_full_screen,5.7%
pinpoint_location,0.0%
popup_with_continue_as_name,80.0%
list,10.0%
camera,2.5%
picture,0.0%
popup,3.3%
navigation_menu,15.6%
input_form,33.3%
select_dialog,36.7%
calendar,0.0%
text_image,20.0%
continue_button,4.8%
theme,0.0%
homescreen,0.0%
Total,20.0%
