List,gaussian_mixture,kmeans
r31,0.0%,0.0%
r7,76.7%,100.0%
r10,0.0%,0.0%
r21,75.0%,75.0%
r34,28.6%,28.6%
r4,0.0%,0.0%
r33,100.0%,100.0%
r12,40.0%,40.0%
r13,91.4%,91.4%
r6,91.4%,94.3%
r29,96.2%,96.2%
r3,0.0%,0.0%
r24,15.0%,17.5%
r32,76.7%,0.0%
r16,33.3%,36.7%
r28,71.1%,0.0%
r25,83.3%,83.3%
r23,0.0%,0.0%
r18,26.7%,23.3%
r11,31.1%,42.2%
r27,96.0%,96.0%
r5,0.0%,0.0%
r17,33.3%,0.0%
r19,0.0%,0.0%
r8,70.0%,80.0%
r1,70.0%,70.0%
r30,0.0%,0.0%
r22,0.0%,4.8%
r26,0.0%,40.0%
r9,100.0%,100.0%
r14,0.0%,0.0%
r2,75.0%,95.0%
r20,42.5%,42.5%
r15,0.0%,90.0%
Total,46.3%,45.8%
