List,dec
text+button,11.1%
popup_with_access,80.0%
text_only,33.3%
open_with,60.0%
text_empty,26.7%
share_with,94.2%
list+on_off,94.3%
advertisement+button,85.0%
image_list,66.7%
popup_date,0.0%
movie,43.3%
menu_list,2.9%
translate_with_sound,0.0%
IME,0.0%
dialer,13.3%
translate,92.0%
image_view,12.5%
location_selection,3.3%
continue_as_name,0.0%
popup_with_full_screen,2.9%
pinpoint_location,76.7%
popup_with_continue_as_name,0.0%
list,27.5%
camera,5.0%
picture,6.7%
popup,0.0%
navigation_menu,13.3%
input_form,0.0%
select_dialog,6.7%
calendar,0.0%
text_image,3.3%
continue_button,2.4%
theme,0.0%
homescreen,20.0%
Total,31.1%
