List,dec
text+button,0.0%
popup_with_access,0.0%
text_only,10.0%
open_with,4.4%
text_empty,23.3%
share_with,94.2%
list+on_off,31.4%
advertisement+button,30.0%
image_list,64.4%
popup_date,16.7%
movie,3.3%
menu_list,2.9%
translate_with_sound,0.0%
IME,30.0%
dialer,6.7%
translate,92.0%
image_view,10.0%
location_selection,3.3%
continue_as_name,0.0%
popup_with_full_screen,8.6%
pinpoint_location,3.3%
popup_with_continue_as_name,82.9%
list,20.0%
camera,90.0%
picture,40.0%
popup,33.3%
navigation_menu,20.0%
input_form,13.3%
select_dialog,3.3%
calendar,0.0%
text_image,3.3%
continue_button,4.8%
theme,0.0%
homescreen,20.0%
Total,25.9%
