List,dec
text+button,11.1%
popup_with_access,0.0%
text_only,13.3%
open_with,0.0%
text_empty,23.3%
share_with,94.2%
list+on_off,2.9%
advertisement+button,2.5%
image_list,17.8%
popup_date,0.0%
movie,26.7%
menu_list,80.0%
translate_with_sound,0.0%
IME,30.0%
dialer,6.7%
translate,92.0%
image_view,5.0%
location_selection,76.7%
continue_as_name,25.0%
popup_with_full_screen,2.9%
pinpoint_location,3.3%
popup_with_continue_as_name,0.0%
list,17.5%
camera,0.0%
picture,40.0%
popup,6.7%
navigation_menu,2.2%
input_form,3.3%
select_dialog,0.0%
calendar,3.3%
text_image,13.3%
continue_button,4.8%
theme,0.0%
homescreen,0.0%
Total,18.8%
