List,dec
text+button,27.8%
popup_with_access,76.7%
text_only,10.0%
open_with,2.2%
text_empty,3.3%
share_with,94.2%
list+on_off,94.3%
advertisement+button,17.5%
image_list,66.7%
popup_date,0.0%
movie,3.3%
menu_list,40.0%
translate_with_sound,100.0%
IME,10.0%
dialer,13.3%
translate,4.0%
image_view,12.5%
location_selection,3.3%
continue_as_name,0.0%
popup_with_full_screen,11.4%
pinpoint_location,6.7%
popup_with_continue_as_name,2.9%
list,17.5%
camera,0.0%
picture,6.7%
popup,20.0%
navigation_menu,2.2%
input_form,3.3%
select_dialog,33.3%
calendar,0.0%
text_image,10.0%
continue_button,2.4%
theme,0.0%
homescreen,20.0%
Total,23.2%
