List,dec
text+button,5.6%
popup_with_access,3.3%
text_only,63.3%
open_with,51.1%
text_empty,3.3%
share_with,76.9%
list+on_off,71.4%
advertisement+button,17.5%
image_list,64.4%
popup_date,16.7%
movie,63.3%
menu_list,40.0%
translate_with_sound,0.0%
IME,0.0%
dialer,6.7%
translate,88.0%
image_view,25.0%
location_selection,76.7%
continue_as_name,0.0%
popup_with_full_screen,5.7%
pinpoint_location,3.3%
popup_with_continue_as_name,80.0%
list,10.0%
camera,57.5%
picture,53.3%
popup,10.0%
navigation_menu,6.7%
input_form,3.3%
select_dialog,13.3%
calendar,20.0%
text_image,13.3%
continue_button,4.8%
theme,0.0%
homescreen,0.0%
Total,32.5%
