List,dec
text+button,16.7%
popup_with_access,76.7%
text_only,36.7%
open_with,24.4%
text_empty,3.3%
share_with,94.2%
list+on_off,91.4%
advertisement+button,85.0%
image_list,0.0%
popup_date,33.3%
movie,6.7%
menu_list,8.6%
translate_with_sound,0.0%
IME,10.0%
dialer,6.7%
translate,92.0%
image_view,5.0%
location_selection,76.7%
continue_as_name,0.0%
popup_with_full_screen,8.6%
pinpoint_location,73.3%
popup_with_continue_as_name,0.0%
list,7.5%
camera,32.5%
picture,20.0%
popup,26.7%
navigation_menu,2.2%
input_form,10.0%
select_dialog,13.3%
calendar,3.3%
text_image,6.7%
continue_button,7.1%
theme,18.2%
homescreen,20.0%
Total,29.2%
