List,dec
text+button,11.1%
popup_with_access,80.0%
text_only,26.7%
open_with,35.6%
text_empty,16.7%
share_with,80.8%
list+on_off,94.3%
advertisement+button,45.0%
image_list,66.7%
popup_date,33.3%
movie,23.3%
menu_list,82.9%
translate_with_sound,0.0%
IME,0.0%
dialer,13.3%
translate,92.0%
image_view,7.5%
location_selection,3.3%
continue_as_name,75.0%
popup_with_full_screen,11.4%
pinpoint_location,6.7%
popup_with_continue_as_name,2.9%
list,52.5%
camera,0.0%
picture,0.0%
popup,6.7%
navigation_menu,24.4%
input_form,6.7%
select_dialog,43.3%
calendar,20.0%
text_image,13.3%
continue_button,2.4%
theme,18.2%
homescreen,0.0%
Total,32.2%
