List,dec
text+button,5.6%
popup_with_access,80.0%
text_only,16.7%
open_with,4.4%
text_empty,6.7%
share_with,84.6%
list+on_off,91.4%
advertisement+button,70.0%
image_list,40.0%
popup_date,16.7%
movie,53.3%
menu_list,40.0%
translate_with_sound,100.0%
IME,0.0%
dialer,6.7%
translate,92.0%
image_view,15.0%
location_selection,76.7%
continue_as_name,75.0%
popup_with_full_screen,2.9%
pinpoint_location,3.3%
popup_with_continue_as_name,0.0%
list,10.0%
camera,90.0%
picture,53.3%
popup,10.0%
navigation_menu,62.2%
input_form,36.7%
select_dialog,0.0%
calendar,0.0%
text_image,3.3%
continue_button,4.8%
theme,0.0%
homescreen,0.0%
Total,35.8%
