List,dec
text+button,0.0%
popup_with_access,0.0%
text_only,50.0%
open_with,68.9%
text_empty,26.7%
share_with,76.9%
list+on_off,94.3%
advertisement+button,85.0%
image_list,64.4%
popup_date,0.0%
movie,0.0%
menu_list,0.0%
translate_with_sound,0.0%
IME,0.0%
dialer,0.0%
translate,92.0%
image_view,5.0%
location_selection,0.0%
continue_as_name,75.0%
popup_with_full_screen,0.0%
pinpoint_location,3.3%
popup_with_continue_as_name,0.0%
list,0.0%
camera,65.0%
picture,0.0%
popup,3.3%
navigation_menu,0.0%
input_form,0.0%
select_dialog,0.0%
calendar,83.3%
text_image,6.7%
continue_button,0.0%
theme,0.0%
homescreen,0.0%
Total,27.6%
