List,dec
text+button,11.1%
popup_with_access,6.7%
text_only,10.0%
open_with,2.2%
text_empty,10.0%
share_with,94.2%
list+on_off,0.0%
advertisement+button,0.0%
image_list,17.8%
popup_date,0.0%
movie,10.0%
menu_list,80.0%
translate_with_sound,0.0%
IME,30.0%
dialer,6.7%
translate,92.0%
image_view,5.0%
location_selection,76.7%
continue_as_name,0.0%
popup_with_full_screen,0.0%
pinpoint_location,3.3%
popup_with_continue_as_name,2.9%
list,17.5%
camera,90.0%
picture,40.0%
popup,6.7%
navigation_menu,4.4%
input_form,10.0%
select_dialog,3.3%
calendar,3.3%
text_image,3.3%
continue_button,2.4%
theme,18.2%
homescreen,0.0%
Total,21.7%
