List,dec
text+button,5.6%
popup_with_access,80.0%
text_only,10.0%
open_with,4.4%
text_empty,6.7%
share_with,94.2%
list+on_off,0.0%
advertisement+button,92.5%
image_list,22.2%
popup_date,50.0%
movie,43.3%
menu_list,2.9%
translate_with_sound,0.0%
IME,10.0%
dialer,6.7%
translate,92.0%
image_view,5.0%
location_selection,0.0%
continue_as_name,75.0%
popup_with_full_screen,2.9%
pinpoint_location,0.0%
popup_with_continue_as_name,0.0%
list,45.0%
camera,57.5%
picture,53.3%
popup,6.7%
navigation_menu,31.1%
input_form,3.3%
select_dialog,30.0%
calendar,0.0%
text_image,6.7%
continue_button,7.1%
theme,77.3%
homescreen,0.0%
Total,27.6%
