List,dec
text+button,16.7%
popup_with_access,76.7%
text_only,36.7%
open_with,17.8%
text_empty,6.7%
share_with,94.2%
list+on_off,91.4%
advertisement+button,85.0%
image_list,0.0%
popup_date,33.3%
movie,6.7%
menu_list,2.9%
translate_with_sound,0.0%
IME,10.0%
dialer,13.3%
translate,92.0%
image_view,2.5%
location_selection,76.7%
continue_as_name,75.0%
popup_with_full_screen,5.7%
pinpoint_location,73.3%
popup_with_continue_as_name,2.9%
list,7.5%
camera,32.5%
picture,0.0%
popup,10.0%
navigation_menu,2.2%
input_form,10.0%
select_dialog,23.3%
calendar,3.3%
text_image,3.3%
continue_button,7.1%
theme,18.2%
homescreen,20.0%
Total,28.8%
