List,dec
text+button,0.0%
popup_with_access,3.3%
text_only,3.3%
open_with,28.9%
text_empty,20.0%
share_with,80.8%
list+on_off,91.4%
advertisement+button,92.5%
image_list,44.4%
popup_date,0.0%
movie,60.0%
menu_list,77.1%
translate_with_sound,0.0%
IME,30.0%
dialer,13.3%
translate,92.0%
image_view,5.0%
location_selection,3.3%
continue_as_name,75.0%
popup_with_full_screen,5.7%
pinpoint_location,80.0%
popup_with_continue_as_name,77.1%
list,5.0%
camera,0.0%
picture,0.0%
popup,20.0%
navigation_menu,2.2%
input_form,10.0%
select_dialog,63.3%
calendar,56.7%
text_image,3.3%
continue_button,2.4%
theme,0.0%
homescreen,0.0%
Total,33.7%
