List,dec
text+button,11.1%
popup_with_access,0.0%
text_only,23.3%
open_with,35.6%
text_empty,16.7%
share_with,80.8%
list+on_off,94.3%
advertisement+button,45.0%
image_list,66.7%
popup_date,33.3%
movie,36.7%
menu_list,82.9%
translate_with_sound,0.0%
IME,0.0%
dialer,13.3%
translate,92.0%
image_view,10.0%
location_selection,3.3%
continue_as_name,75.0%
popup_with_full_screen,8.6%
pinpoint_location,6.7%
popup_with_continue_as_name,80.0%
list,2.5%
camera,2.5%
picture,0.0%
popup,6.7%
navigation_menu,55.6%
input_form,6.7%
select_dialog,3.3%
calendar,56.7%
text_image,13.3%
continue_button,2.4%
theme,18.2%
homescreen,0.0%
Total,32.2%
