List,dec
text+button,5.6%
popup_with_access,83.3%
text_only,10.0%
open_with,4.4%
text_empty,26.7%
share_with,80.8%
list+on_off,94.3%
advertisement+button,75.0%
image_list,55.6%
popup_date,83.3%
movie,20.0%
menu_list,37.1%
translate_with_sound,0.0%
IME,10.0%
dialer,13.3%
translate,0.0%
image_view,2.5%
location_selection,0.0%
continue_as_name,75.0%
popup_with_full_screen,11.4%
pinpoint_location,0.0%
popup_with_continue_as_name,2.9%
list,62.5%
camera,92.5%
picture,0.0%
popup,16.7%
navigation_menu,13.3%
input_form,3.3%
select_dialog,36.7%
calendar,6.7%
text_image,3.3%
continue_button,11.9%
theme,0.0%
homescreen,0.0%
Total,30.1%
