List,dec
text+button,16.7%
popup_with_access,80.0%
text_only,3.3%
open_with,0.0%
text_empty,16.7%
share_with,94.2%
list+on_off,71.4%
advertisement+button,85.0%
image_list,66.7%
popup_date,0.0%
movie,63.3%
menu_list,82.9%
translate_with_sound,0.0%
IME,10.0%
dialer,33.3%
translate,92.0%
image_view,7.5%
location_selection,0.0%
continue_as_name,75.0%
popup_with_full_screen,25.7%
pinpoint_location,76.7%
popup_with_continue_as_name,2.9%
list,32.5%
camera,0.0%
picture,0.0%
popup,3.3%
navigation_menu,2.2%
input_form,3.3%
select_dialog,3.3%
calendar,0.0%
text_image,16.7%
continue_button,9.5%
theme,0.0%
homescreen,0.0%
Total,31.6%
