List,dec
text+button,0.0%
popup_with_access,0.0%
text_only,23.3%
open_with,22.2%
text_empty,0.0%
share_with,94.2%
list+on_off,88.6%
advertisement+button,27.5%
image_list,20.0%
popup_date,0.0%
movie,63.3%
menu_list,85.7%
translate_with_sound,0.0%
IME,0.0%
dialer,0.0%
translate,0.0%
image_view,12.5%
location_selection,0.0%
continue_as_name,75.0%
popup_with_full_screen,0.0%
pinpoint_location,76.7%
popup_with_continue_as_name,85.7%
list,5.0%
camera,80.0%
picture,53.3%
popup,3.3%
navigation_menu,8.9%
input_form,36.7%
select_dialog,86.7%
calendar,60.0%
text_image,16.7%
continue_button,2.4%
theme,0.0%
homescreen,0.0%
Total,33.8%
