List,dec
text+button,5.6%
popup_with_access,76.7%
text_only,10.0%
open_with,57.8%
text_empty,6.7%
share_with,94.2%
list+on_off,94.3%
advertisement+button,85.0%
image_list,66.7%
popup_date,33.3%
movie,63.3%
menu_list,0.0%
translate_with_sound,100.0%
IME,10.0%
dialer,13.3%
translate,0.0%
image_view,2.5%
location_selection,3.3%
continue_as_name,0.0%
popup_with_full_screen,8.6%
pinpoint_location,3.3%
popup_with_continue_as_name,2.9%
list,25.0%
camera,2.5%
picture,0.0%
popup,16.7%
navigation_menu,4.4%
input_form,33.3%
select_dialog,16.7%
calendar,0.0%
text_image,6.7%
continue_button,2.4%
theme,0.0%
homescreen,0.0%
Total,28.5%
