List,dec
text+button,11.1%
popup_with_access,0.0%
text_only,10.0%
open_with,2.2%
text_empty,6.7%
share_with,1.9%
list+on_off,71.4%
advertisement+button,85.0%
image_list,66.7%
popup_date,16.7%
movie,63.3%
menu_list,82.9%
translate_with_sound,0.0%
IME,10.0%
dialer,13.3%
translate,92.0%
image_view,17.5%
location_selection,0.0%
continue_as_name,75.0%
popup_with_full_screen,2.9%
pinpoint_location,6.7%
popup_with_continue_as_name,62.9%
list,2.5%
camera,35.0%
picture,0.0%
popup,3.3%
navigation_menu,2.2%
input_form,3.3%
select_dialog,53.3%
calendar,90.0%
text_image,3.3%
continue_button,4.8%
theme,0.0%
homescreen,20.0%
Total,27.6%
