List,dec
text+button,11.1%
popup_with_access,80.0%
text_only,6.7%
open_with,2.2%
text_empty,6.7%
share_with,94.2%
list+on_off,0.0%
advertisement+button,92.5%
image_list,40.0%
popup_date,0.0%
movie,43.3%
menu_list,5.7%
translate_with_sound,100.0%
IME,10.0%
dialer,6.7%
translate,4.0%
image_view,2.5%
location_selection,0.0%
continue_as_name,0.0%
popup_with_full_screen,8.6%
pinpoint_location,0.0%
popup_with_continue_as_name,0.0%
list,45.0%
camera,35.0%
picture,6.7%
popup,6.7%
navigation_menu,2.2%
input_form,3.3%
select_dialog,30.0%
calendar,0.0%
text_image,10.0%
continue_button,7.1%
theme,77.3%
homescreen,20.0%
Total,24.4%
