List,dec
text+button,11.1%
popup_with_access,83.3%
text_only,3.3%
open_with,80.0%
text_empty,3.3%
share_with,80.8%
list+on_off,94.3%
advertisement+button,75.0%
image_list,11.1%
popup_date,0.0%
movie,20.0%
menu_list,37.1%
translate_with_sound,0.0%
IME,10.0%
dialer,6.7%
translate,92.0%
image_view,2.5%
location_selection,0.0%
continue_as_name,0.0%
popup_with_full_screen,5.7%
pinpoint_location,3.3%
popup_with_continue_as_name,77.1%
list,2.5%
camera,92.5%
picture,0.0%
popup,3.3%
navigation_menu,2.2%
input_form,36.7%
select_dialog,23.3%
calendar,26.7%
text_image,10.0%
continue_button,11.9%
theme,18.2%
homescreen,0.0%
Total,32.8%
