List,dec
text+button,11.1%
popup_with_access,80.0%
text_only,16.7%
open_with,0.0%
text_empty,0.0%
share_with,84.6%
list+on_off,91.4%
advertisement+button,12.5%
image_list,40.0%
popup_date,16.7%
movie,53.3%
menu_list,40.0%
translate_with_sound,100.0%
IME,20.0%
dialer,13.3%
translate,92.0%
image_view,12.5%
location_selection,76.7%
continue_as_name,75.0%
popup_with_full_screen,2.9%
pinpoint_location,3.3%
popup_with_continue_as_name,80.0%
list,10.0%
camera,90.0%
picture,40.0%
popup,10.0%
navigation_menu,4.4%
input_form,13.3%
select_dialog,0.0%
calendar,0.0%
text_image,6.7%
continue_button,4.8%
theme,95.5%
homescreen,0.0%
Total,34.9%
